us,flow,size,rtt_us
1746368431868348,1,1024,0
1746368431869518,2,512,0
1746368431871914,2,512,0
1746368431873009,1,1024,0
1746368431874277,2,512,0
1746368431876668,2,512,0
1746368431877635,1,1024,0
1746368431879047,2,512,0
1746368431881415,2,512,0
1746368431882269,1,1024,0
1746368431883747,2,512,0
1746368431886112,2,512,0
1746368431886928,1,1024,0
1746368431888484,2,512,0
1746368431890872,2,512,0
1746368431891205,1,1024,0
1746368431893251,2,512,0
1746368431895621,2,512,0
1746368431895621,1,1024,0
1746368431897955,2,512,0
1746368431900259,2,512,0
1746368431900258,1,1024,0
1746368431902582,2,512,0
1746368431904672,1,1024,0
1746368431904921,2,512,0
1746368431907269,2,512,0
1746368431909299,1,1024,0
1746368431909682,2,512,0
1746368431912036,2,512,0
1746368431913657,1,1024,0
1746368431914380,2,512,0
1746368431916748,2,512,0
1746368431917943,1,1024,0
1746368431919096,2,512,0
1746368431921435,2,512,0
1746368431922556,1,1024,0
1746368431923817,2,512,0
1746368431926188,2,512,0
1746368431927204,1,1024,0
1746368431928520,2,512,0
1746368431930951,2,512,0
1746368431931851,1,1024,0
1746368431933311,2,512,0
1746368431935659,2,512,0
1746368431936497,1,1024,0
1746368431937995,2,512,0
1746368431940343,2,512,0
1746368431941123,1,1024,0
1746368431942692,2,512,0
1746368431945059,2,512,0
1746368431945754,1,1024,0
1746368431947406,2,512,0
1746368431949769,2,512,0
1746368431950359,1,1024,0
1746368431952133,2,512,0
1746368431954527,1,1024,0
1746368431954530,2,512,0
1746368431956908,2,512,0
1746368431958984,1,1024,0
1746368431959288,2,512,0
1746368431961641,2,512,0
1746368431963611,1,1024,0
1746368431963789,2,512,0
1746368431965943,2,512,0
1746368431968224,1,1024,0
1746368431968226,2,512,0
1746368431970575,2,512,0
1746368431972825,1,1024,0
1746368431972932,2,512,0
1746368431975275,2,512,0
1746368431977446,1,1024,0
1746368431977603,2,512,0
1746368431979965,2,512,0
1746368431982086,1,1024,0
1746368431982315,2,512,0
1746368431984681,2,512,0
1746368431986744,1,1024,0
1746368431987031,2,512,0
1746368431989388,2,512,0
1746368431991367,1,1024,0
1746368431991662,2,512,0
1746368431994033,2,512,0
1746368431996010,1,1024,0
1746368431996388,2,512,0
1746368431998756,2,512,0
1746368432000682,1,1024,0
1746368432001108,2,512,0
1746368432003463,2,512,0
1746368432005319,1,1024,0
1746368432005818,2,512,0
1746368432008176,2,512,0
1746368432009943,1,1024,0
1746368432010511,2,512,0
1746368432012897,2,512,0
1746368432014556,1,1024,0
1746368432015251,2,512,0
1746368432017603,2,512,0
1746368432019068,1,1024,0
1746368432019966,2,512,0
1746368432022311,2,512,0
1746368432023703,1,1024,0
1746368432024668,2,512,0
1746368432027084,2,512,0
1746368432028228,1,1024,0
1746368432029378,2,512,0
1746368432031728,2,512,0
1746368432032901,1,1024,0
1746368432034058,2,512,0
1746368432036435,2,512,0
1746368432037560,1,1024,0
1746368432038808,2,512,0
1746368432041178,2,512,0
1746368432041798,1,1024,0
1746368432043551,2,512,0
1746368432045936,2,512,0
1746368432046477,1,1024,0
1746368432048320,2,512,0
1746368432050713,2,512,0
1746368432050966,1,1024,0
1746368432053105,2,512,0
1746368432055060,1,1024,0
1746368432055492,2,512,0
1746368432057860,2,512,0
1746368432059739,1,1024,0
1746368432060308,2,512,0
1746368432062678,2,512,0
1746368432064403,1,1024,0
1746368432065035,2,512,0
1746368432067418,2,512,0
1746368432068719,1,1024,0
1746368432069817,2,512,0
1746368432072196,2,512,0
1746368432073341,1,1024,0
1746368432074564,2,512,0
1746368432076850,2,512,0
1746368432077982,1,1024,0
1746368432079215,2,512,0
1746368432081600,2,512,0
1746368432082428,1,1024,0
1746368432083953,2,512,0
1746368432086315,2,512,0
1746368432087070,1,1024,0
1746368432088675,2,512,0
1746368432091046,2,512,0
1746368432091663,1,1024,0
1746368432093445,2,512,0
1746368432095810,2,512,0
1746368432096286,1,1024,0
1746368432098160,2,512,0
1746368432100524,2,512,0
1746368432100906,1,1024,0
1746368432102912,2,512,0
1746368432105125,2,512,0
1746368432105521,1,1024,0
1746368432107414,2,512,0
1746368432109701,2,512,0
1746368432109704,1,1024,0
1746368432112069,2,512,0
1746368432114351,1,1024,0
1746368432114431,2,512,0
1746368432116815,2,512,0
1746368432119001,1,1024,0
1746368432119179,2,512,0
1746368432121544,2,512,0
1746368432123631,1,1024,0
1746368432123893,2,512,0
1746368432126272,2,512,0
1746368432128346,1,1024,0
1746368432128628,2,512,0
1746368432130974,2,512,0
1746368432133003,1,1024,0
1746368432133251,2,512,0
1746368432135619,2,512,0
1746368432137636,1,1024,0
1746368432137985,2,512,0
1746368432140338,2,512,0
1746368432142260,1,1024,0
1746368432142689,2,512,0
1746368432145055,2,512,0
1746368432146886,1,1024,0
1746368432147402,2,512,0
1746368432149840,2,512,0
1746368432151087,1,1024,0
1746368432152228,2,512,0
1746368432154586,2,512,0
1746368432155793,1,1024,0
1746368432157132,2,512,0
1746368432159501,2,512,0
1746368432160432,1,1024,0
1746368432161896,2,512,0
1746368432164261,2,512,0
1746368432165053,1,1024,0
1746368432166625,2,512,0
1746368432169018,2,512,0
1746368432169680,1,1024,0
1746368432171382,2,512,0
1746368432173760,2,512,0
1746368432174294,1,1024,0
1746368432176146,2,512,0
1746368432178412,2,512,0
1746368432178929,1,1024,0
1746368432180770,2,512,0
1746368432183152,1,1024,0
1746368432183150,2,512,0
1746368432185557,2,512,0
1746368432187694,1,1024,0
1746368432187903,2,512,0
1746368432190246,2,512,0
1746368432192380,2,512,0
1746368432192381,1,1024,0
1746368432194769,2,512,0
1746368432197032,2,512,0
1746368432197032,1,1024,0
1746368432199395,2,512,0
1746368432201485,1,1024,0
1746368432201739,2,512,0
1746368432204101,2,512,0
1746368432206112,1,1024,0
1746368432206452,2,512,0
1746368432208821,2,512,0
