timestamp,flow_id,packet_size,sequence_number,delay_ms
1749003516.77855,1,1024,481,0.62
1749003516.798931,1,1024,482,1.36
1749003516.798945,1,1024,483,0.90
1749003516.8229928,1,1024,484,0.52
1749003516.823009,1,1024,485,0.52
1749003516.843304,1,1024,486,1.33
1749003516.84334,1,1024,487,0.71
1749003516.863861,1,1024,488,1.40
1749003516.8638878,1,1024,489,1.18
1749003516.8882072,1,1024,490,0.74
1749003516.888268,1,1024,491,0.76
1749003516.907444,1,1024,492,0.89
1749003516.908712,1,1024,493,0.96
1749003516.93276,1,1024,494,1.36
1749003516.9328792,1,1024,495,1.37
1749003516.949286,1,1024,496,0.32
1749003516.953177,1,1024,497,1.42
1749003516.969952,1,1024,498,0.31
1749003516.972592,1,1024,499,0.53
1749003516.997817,1,1024,500,1.37
1749003516.998087,1,1024,501,1.43
1749003517.016789,1,1024,502,0.37
1749003517.0182028,1,1024,503,1.46
1749003517.040391,1,1024,504,1.47
1749003517.0404532,1,1024,505,1.40
1749003517.0626209,1,1024,506,1.39
1749003517.062728,1,1024,507,1.31
1749003517.0819871,1,1024,508,0.55
1749003517.08207,1,1024,509,0.50
1749003517.102475,1,1024,510,0.23
1749003517.102533,1,1024,511,0.22
1749003517.124279,1,1024,512,1.40
1749003517.124318,1,1024,513,1.39
1749003517.14837,1,1024,514,1.16
1749003517.148431,1,1024,515,1.12
1749003517.165209,1,1024,516,0.39
1749003517.169087,1,1024,517,1.14
1749003517.187196,1,1024,518,1.49
1749003517.189864,1,1024,519,1.31
1749003517.210767,1,1024,520,0.68
1749003517.210901,1,1024,521,0.71
1749003517.233035,1,1024,522,1.11
1749003517.233137,1,1024,523,1.12
1749003517.2552938,1,1024,524,1.58
1749003517.2554,1,1024,525,1.60
1749003517.276213,1,1024,526,1.46
1749003517.276356,1,1024,527,1.45
1749003517.299392,1,1024,528,0.81
1749003517.299507,1,1024,529,0.82
1749003517.320506,1,1024,530,1.52
1749003517.320611,1,1024,531,1.53
1749003517.341563,1,1024,532,1.12
1749003517.3417358,1,1024,533,1.18
1749003517.3648179,1,1024,534,1.04
1749003517.3649359,1,1024,535,1.07
1749003517.38376,1,1024,536,1.06
1749003517.385064,1,1024,537,0.95
